unix;characteristic;data
1713510229;61080004-8d6d-82b8-614a-1c8cb0f8dcc6;aa2400fa3038030054172266801e14000276010000f50e000000001b160100190100000050944121
1713510229;61080004-8d6d-82b8-614a-1c8cb0f8dcc6;aa2c005230393f0054172266881e1c00019aff83fff50efe0033008603de031b160100190100003400000000ec714fd3
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa2c005231ed01dc172266a84c060000001000000002000000290000000f0000000300000000000000080000fed3ac25
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa2c005231ed01dc172266a84c060000001000000002000000290000000f0000000300000000000000080000fed3ac25
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f32280200cf1622666827340001383332372e332c2050726174653a2038382e350a2020392c20313532383533303039333a20424c453a20436f6d6d616e6420005fae8c21
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f32280200cf1622666827340001383332372e332c2050726174653a2038382e350a2020392c20313532383533303039333a20424c453a20436f6d6d616e6420005fae8c21
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa10005730292100d316226640520000ef751416
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa10005730292100d316226640520000ef751416
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322a0200d8162266281c34000153656e6420486973746f726963616c20446174610a2020392c20313532383533303130303a20424c453a20456e61626c6564008faa04d4
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322a0200d8162266281c34000153656e6420486973746f726963616c20446174610a2020392c20313532383533303130303a20424c453a20456e61626c6564008faa04d4
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322b0200d8162266281c34000120456e7472792e0a2020392c20313532383533303130303a20424c453a20436f64656d656d204f4b0a2020392c20313532380064718d0a
1713510365;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322b0200d8162266281c34000120456e7472792e0a2020392c20313532383533303130303a20424c453a20436f64656d656d204f4b0a2020392c20313532380064718d0a
1713510366;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322c0200d8162266281c3400013533303130313a20424c453a205231302b5231312064617461207061636b6574207472616e736d69737373696f6e20646566009ff0c528
1713510366;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322c0200d8162266281c3400013533303130313a20424c453a205231302b5231312064617461207061636b6574207472616e736d69737373696f6e20646566009ff0c528
1713510366;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322d0200d8162266301c34000161756c740a2020392c20313532383533303335393a20424c453a20486973746f727920627572737420737563636573732e20005cd10424
1713510366;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322e0200d8162266301c3400015472696d3a20307830303030303030313a30303031396462312028313a313035393035290a2020392c20313532383533303600a36bcb4c
1713510366;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322d0200d8162266301c34000161756c740a2020392c20313532383533303335393a20424c453a20486973746f727920627572737420737563636573732e20005cd10424
1713510366;61080005-8d6d-82b8-614a-1c8cb0f8dcc6;aa44000f322f0200d8162266301c34000130333a20424c453a20486973746f727920627572737420737563636573732e205472696d3a20307830303030303030313a30004d9d4ba1
